VIN_ID,MDL_CD,Make,Model,Year
5J6ZC8H50SY000001,ZC8H5SGNW,Honda,CRV,2025
5J6ZC8H50SY000002,ZC8H5SGNW,Honda,CRV,2025
5J6ZC8H50SY000003,ZC8H5SGNW,Honda,CRV,2025
5J6ZC8H50SY000004,ZC8H5SGNW,Honda,CRV,2025
5J6ZC8H50SY000005,ZC8H5SGNW,Honda,CRV,2025
5J6ZC8H50SY000006,ZC8H5SGNW,Honda,CRV,2025
5J6ZC8H50SY000007,ZC8H5SGNW,Honda,CRV,2025
5J6ZC8H50SY000008,ZC8H5SGNW,Honda,CRV,2025
5J6ZC8H50SY000009,ZC8H5SGNW,Honda,CRV,2025
5J6ZC8H50SY000010,ZC8H5SGNW,Honda,CRV,2025
2HKRS3H40SH300069,RS3H4SJW,Honda,CRV,2025
2HKRS3H40SH300072,RS3H4SJW,Honda,CRV,2025
2HKRS3H40SH300086,RS3H4SJW,Honda,CRV,2025
2HKRS3H40SH300105,RS3H4SJW,Honda,CRV,2025
2HKRS3H40SH300119,RS3H4SJW,Honda,CRV,2025
2HKRS3H40SH300122,RS3H4SJW,Honda,CRV,2025
2HKRS3H40SH300315,RS3H4SJW,Honda,CRV,2025
2HKRS3H40SH300329,RS3H4SJW,Honda,CRV,2025
2HKRS3H40SH300332,RS3H4SJW,Honda,CRV,2025
2HKRS3H40SH300346,RS3H4SJW,Honda,CRV,2025
2HKRS3H70SH300129,RS3H7SJW,Honda,CRV,2025
2HKRS3H70SH300132,RS3H7SJW,Honda,CRV,2025
2HKRS3H70SH300146,RS3H7SJW,Honda,CRV,2025
2HKRS3H70SH300163,RS3H7SJW,Honda,CRV,2025
2HKRS3H70SH300177,RS3H7SJW,Honda,CRV,2025
2HKRS3H70SH300180,RS3H7SJW,Honda,CRV,2025
2HKRS3H70SH300194,RS3H7SJW,Honda,CRV,2025
2HKRS3H70SH300213,RS3H7SJW,Honda,CRV,2025
2HKRS3H70SH300227,RS3H7SJW,Honda,CRV,2025
2HKRS3H70SH300230,RS3H7SJW,Honda,CRV,2025
2HKRS3H20SH300006,RS3H2SEW,Honda,CRV,2025
2HKRS3H20SH300023,RS3H2SEW,Honda,CRV,2025
2HKRS3H20SH300037,RS3H2SEW,Honda,CRV,2025
2HKRS3H20SH300040,RS3H2SEW,Honda,CRV,2025
2HKRS3H20SH300054,RS3H2SEW,Honda,CRV,2025
2HKRS3H20SH300734,RS3H2SEW,Honda,CRV,2025
2HKRS3H20SH300748,RS3H2SEW,Honda,CRV,2025
2HKRS3H20SH300765,RS3H2SEW,Honda,CRV,2025
2HKRS3H20SH300779,RS3H2SEW,Honda,CRV,2025
2HKRS3H20SH300782,RS3H2SEW,Honda,CRV,2025
2HKRS4H40SH400078,RS4H4SJW,Honda,CRV,2025
2HKRS4H40SH400081,RS4H4SJW,Honda,CRV,2025
2HKRS4H40SH400095,RS4H4SJW,Honda,CRV,2025
2HKRS4H40SH400100,RS4H4SJW,Honda,CRV,2025
2HKRS4H40SH400114,RS4H4SJW,Honda,CRV,2025
2HKRS4H40SH400436,RS4H4SJW,Honda,CRV,2025
2HKRS4H40SH400453,RS4H4SJW,Honda,CRV,2025
2HKRS4H40SH400470,RS4H4SJW,Honda,CRV,2025
2HKRS4H40SH400484,RS4H4SJW,Honda,CRV,2025
2HKRS4H40SH400789,RS4H4SJW,Honda,CRV,2025
2HKRS4H70SH400009,RS4H7SJW,Honda,CRV,2025
2HKRS4H70SH400012,RS4H7SJW,Honda,CRV,2025
2HKRS4H70SH400026,RS4H7SJW,Honda,CRV,2025
2HKRS4H70SH400043,RS4H7SJW,Honda,CRV,2025
2HKRS4H70SH400057,RS4H7SJW,Honda,CRV,2025
2HKRS4H70SH400060,RS4H7SJW,Honda,CRV,2025
2HKRS4H70SH400253,RS4H7SJW,Honda,CRV,2025
2HKRS4H70SH400267,RS4H7SJW,Honda,CRV,2025
2HKRS4H70SH400270,RS4H7SJW,Honda,CRV,2025
2HKRS4H70SH400284,RS4H7SJW,Honda,CRV,2025
2HKRS4H20SH400130,RS4H2SEW,Honda,CRV,2025
2HKRS4H20SH400144,RS4H2SEW,Honda,CRV,2025
2HKRS4H20SH400158,RS4H2SEW,Honda,CRV,2025
2HKRS4H20SH400161,RS4H2SEW,Honda,CRV,2025
2HKRS4H20SH400175,RS4H2SEW,Honda,CRV,2025
2HKRS4H20SH400189,RS4H2SEW,Honda,CRV,2025
2HKRS4H20SH400192,RS4H2SEW,Honda,CRV,2025
2HKRS4H20SH400208,RS4H2SEW,Honda,CRV,2025
2HKRS4H20SH400211,RS4H2SEW,Honda,CRV,2025
2HKRS4H20SH400225,RS4H2SEW,Honda,CRV,2025
5J6RS5H50SL000302,RS5H5SJXW,Honda,CRV,2025
5J6RS5H50SL000316,RS5H5SJXW,Honda,CRV,2025
5J6RS5H50SL000333,RS5H5SJXW,Honda,CRV,2025
5J6RS5H50SL000347,RS5H5SJXW,Honda,CRV,2025
5J6RS5H50SL000350,RS5H5SJXW,Honda,CRV,2025
5J6RS5H50SL000493,RS5H5SJXW,Honda,CRV,2025
5J6RS5H50SL000509,RS5H5SJXW,Honda,CRV,2025
5J6RS5H50SL000512,RS5H5SJXW,Honda,CRV,2025
5J6RS5H50SL000526,RS5H5SJXW,Honda,CRV,2025
5J6RS5H51SL000308,RS5H5SJXW,Honda,CRV,2025
5J6RS5H80SL000004,RS5H8SJXW,Honda,CRV,2025
5J6RS5H80SL000018,RS5H8SJXW,Honda,CRV,2025
5J6RS5H80SL000021,RS5H8SJXW,Honda,CRV,2025
5J6RS5H80SL000035,RS5H8SJXW,Honda,CRV,2025
5J6RS5H80SL000049,RS5H8SJXW,Honda,CRV,2025
5J6RS5H80SL000052,RS5H8SJXW,Honda,CRV,2025
5J6RS5H80SL000066,RS5H8SJXW,Honda,CRV,2025
5J6RS5H80SL000083,RS5H8SJXW,Honda,CRV,2025
5J6RS5H80SL000097,RS5H8SJXW,Honda,CRV,2025
5J6RS5H80SL000102,RS5H8SJXW,Honda,CRV,2025
2HKRS6H50SH800257,RS6H5SJXW,Honda,CRV,2025
2HKRS6H50SH800274,RS6H5SJXW,Honda,CRV,2025
2HKRS6H50SH800288,RS6H5SJXW,Honda,CRV,2025
2HKRS6H50SH800291,RS6H5SJXW,Honda,CRV,2025
2HKRS6H50SH800307,RS6H5SJXW,Honda,CRV,2025
2HKRS6H50SH800856,RS6H5SJXW,Honda,CRV,2025
2HKRS6H50SH800873,RS6H5SJXW,Honda,CRV,2025
2HKRS6H50SH800887,RS6H5SJXW,Honda,CRV,2025
2HKRS6H50SH800890,RS6H5SJXW,Honda,CRV,2025
2HKRS6H50SH800906,RS6H5SJXW,Honda,CRV,2025
2HKRS6H90SH800018,RS6H9SKXW,Honda,CRV,2025
2HKRS6H90SH800021,RS6H9SKXW,Honda,CRV,2025
2HKRS6H90SH800035,RS6H9SKXW,Honda,CRV,2025
2HKRS6H90SH800049,RS6H9SKXW,Honda,CRV,2025
2HKRS6H90SH800052,RS6H9SKXW,Honda,CRV,2025
2HKRS6H90SH800066,RS6H9SKXW,Honda,CRV,2025
2HKRS6H90SH800133,RS6H9SKXW,Honda,CRV,2025
2HKRS6H90SH800147,RS6H9SKXW,Honda,CRV,2025
2HKRS6H90SH800164,RS6H9SKXW,Honda,CRV,2025
2HKRS6H90SH800178,RS6H9SKXW,Honda,CRV,2025
2HKRS6H80SH800088,RS6H8SJXW,Honda,CRV,2025
2HKRS6H80SH800091,RS6H8SJXW,Honda,CRV,2025
2HKRS6H80SH800110,RS6H8SJXW,Honda,CRV,2025
2HKRS6H80SH800124,RS6H8SJXW,Honda,CRV,2025
2HKRS6H80SH800317,RS6H8SJXW,Honda,CRV,2025
2HKRS6H80SH800320,RS6H8SJXW,Honda,CRV,2025
2HKRS6H80SH800334,RS6H8SJXW,Honda,CRV,2025
2HKRS6H80SH800348,RS6H8SJXW,Honda,CRV,2025
2HKRS6H80SH800351,RS6H8SJXW,Honda,CRV,2025
2HKRS6H80SH800365,RS6H8SJXW,Honda,CRV,2025
3CZRZ1H70SM700275,RZ1H7SJW,Honda,HR-V,2025
3CZRZ1H70SM700289,RZ1H7SJW,Honda,HR-V,2025
3CZRZ1H70SM700292,RZ1H7SJW,Honda,HR-V,2025
3CZRZ1H70SM700454,RZ1H7SJW,Honda,HR-V,2025
3CZRZ1H70SM700468,RZ1H7SJW,Honda,HR-V,2025
3CZRZ1H70SM700471,RZ1H7SJW,Honda,HR-V,2025
3CZRZ1H70SM700485,RZ1H7SJW,Honda,HR-V,2025
3CZRZ1H70SM700499,RZ1H7SJW,Honda,HR-V,2025
3CZRZ1H70SM700504,RZ1H7SJW,Honda,HR-V,2025
3CZRZ1H70SM700518,RZ1H7SJW,Honda,HR-V,2025
3CZRZ1H30SM700001,RZ1H3SEW,Honda,HR-V,2025
3CZRZ1H30SM700015,RZ1H3SEW,Honda,HR-V,2025
3CZRZ1H30SM700029,RZ1H3SEW,Honda,HR-V,2025
3CZRZ1H30SM700032,RZ1H3SEW,Honda,HR-V,2025
3CZRZ1H30SM700046,RZ1H3SEW,Honda,HR-V,2025
3CZRZ1H30SM700211,RZ1H3SEW,Honda,HR-V,2025
3CZRZ1H30SM700225,RZ1H3SEW,Honda,HR-V,2025
3CZRZ1H30SM700239,RZ1H3SEW,Honda,HR-V,2025
3CZRZ1H30SM700242,RZ1H3SEW,Honda,HR-V,2025
3CZRZ1H30SM700256,RZ1H3SEW,Honda,HR-V,2025
3CZRZ1H50SM700064,RZ1H5SEW,Honda,HR-V,2025
3CZRZ1H50SM700078,RZ1H5SEW,Honda,HR-V,2025
3CZRZ1H50SM700081,RZ1H5SEW,Honda,HR-V,2025
3CZRZ1H50SM700095,RZ1H5SEW,Honda,HR-V,2025
3CZRZ1H50SM700100,RZ1H5SEW,Honda,HR-V,2025
3CZRZ1H50SM700114,RZ1H5SEW,Honda,HR-V,2025
3CZRZ1H50SM700128,RZ1H5SEW,Honda,HR-V,2025
3CZRZ1H50SM700131,RZ1H5SEW,Honda,HR-V,2025
3CZRZ1H50SM700145,RZ1H5SEW,Honda,HR-V,2025
3CZRZ1H50SM700159,RZ1H5SEW,Honda,HR-V,2025
3CZRZ2H70SM700363,RZ2H7SJW,Honda,HR-V,2025
3CZRZ2H70SM700377,RZ2H7SJW,Honda,HR-V,2025
3CZRZ2H70SM700380,RZ2H7SJW,Honda,HR-V,2025
3CZRZ2H70SM700394,RZ2H7SJW,Honda,HR-V,2025
3CZRZ2H70SM700413,RZ2H7SJW,Honda,HR-V,2025
3CZRZ2H70SM700573,RZ2H7SJW,Honda,HR-V,2025
3CZRZ2H70SM700587,RZ2H7SJW,Honda,HR-V,2025
3CZRZ2H70SM700590,RZ2H7SJW,Honda,HR-V,2025
